Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
QMobile,i8i,i8i,925MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,24,2.0
QMobile,LT600 PRO,QMobile_LT600_PRO,901MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
QMobile,ENERGY X1,ENERGY_X1,967MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,23,2.0
QMobile,V7 Metal,V7_Metal,958MB,Phone,Mediatek MT8321,600x1024,213,armeabi-v7a;armeabi,27,2.0
QMobile,S6 PLUS,QMobile_S6_PLUS,1972MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
QMobile,Beat 1,QMobile_Beat_1,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
QMobile,S2 Plus,S2_Plus,959MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
QMobile,Pakistan,A1_sprout,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,22;23,2.0
QMobile,Q Infinity Prime,Q_Infinity_Prime,2875MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
QMobile,Z12 PRO,Z12_PRO,2917MB,Phone,Mediatek MT6753,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
QMobile,i7i 2020,i7i_2020,958MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
QMobile,QNote,QMobile_QNote,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Qoobex,Qphone2019_A,Qphone2019_A,5858MB,Phone,Mediatek MT6757CD,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Qpad,XL PLUS,t591_hwd_q19_hiya_we,900MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,24,2.0
QPS Digital Electronics,T1,T1,1819MB,Tablet,Spreadtrum SC9863A,1200x1920,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
QPS Digital Electronics,KIDS01,KIDS01,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
QPS Digital Electronics,T1mini,T1mini,1958MB,Tablet,Rockchip RK3326,600x1024,160,armeabi-v7a;armeabi,28,3.2
Qsmart,i10_2020,i10_2020,922MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,28,3.2
Qsmart,Mark 2,MARK_2,956MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,28,2.0
Qsmart,QSmart Canopus,Canopus,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Qsmart,GLi,GLi,958MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Qsmart,i10 2019,i10_2019,922MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,28,3.2
Qsmart,QSmart X10,X10,1912MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,28,3.2
Qsmart,Hot 5,Hot_5,2845MB,Phone,Mediatek MT6763,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Qsmart,QSmart Rocket,Rocket,877MB,Phone,Spreadtrum SC9832E,600x1280,240,armeabi-v7a;armeabi,28,3.2
Qsmart,QSmart X40,X40,1817MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Qsmart,QSmart X20,X20,1817MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Qsmart,i5i 2019,QSmart_i5i_2019,957MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
Qsmart,Smart HD Pro,Smart_HD_Pro,922MB,Phone,Spreadtrum SC7731E,720x1440,320,armeabi-v7a;armeabi,28,3.2
Qsmart,View Max,View_Max,1807MB,Phone,Mediatek MT6762d,720x1600,280,armeabi-v7a;armeabi,29,3.2
Qsmart,LT900,QSmart_LT900,894MB,Phone,Mediatek MT6739WA,480x960,240,armeabi-v7a;armeabi,27,3.2
Qsmart,Rocket_Lite,Rocket_Lite,876MB,Phone,Spreadtrum SC9832E,480x960,240,armeabi-v7a;armeabi,28,3.2
Qsmart,LT950,LT950,880MB,Phone,Mediatek MT6739CH,480x960,240,armeabi-v7a;armeabi,28,3.2
Qsmart,i6i_2020,QSmart_i6i_2020,957MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
Qsmart,QSmart i4i,i4i,920MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,28,3.2
Qsmart,View,View,1819MB,Phone,Spreadtrum SC9863A,720x1560,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Qtouch,Q05A,Q05A,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
Qtouch,Qtouch_Q81,Qtouch_Q81,1882MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Qtouch,QS702,QTOUCH-QS702,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Qtouch,Qtouch_Q88,Qtouch_Q88,886MB,Phone,Mediatek MT6739WA,720x1280,320,armeabi-v7a;armeabi,27,3.2
Qtouch,Qtouch_QT10,Qtouch_QT10,974MB,Tablet,Allwinner A64,1024x600,160,arm64-v8a;armeabi-v7a;armeabi,27,2.0
Qtouch,Qtouch_Q502,Qtouch_Q502,958MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Qtouch,Qtouch_Q85,Qtouch_Q85,943MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Qtouch,QS701,QS701,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Qtouch,Q01A,Q01A,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Quanta,TA1013,nk1,,Tablet,NVidia T20,1280x752,160,armeabi-v7a;armeabi,13,2.0
Quanta,FT103,FT103,,Tablet,TI OMAP4428,1920x1080,160,armeabi-v7a;armeabi,15,2.0
Quanta,VSD220,VSD220,,Tablet,TI OMAP4428,1920x1080,160,armeabi-v7a;armeabi,15,2.0
Quantum,You,Q17,2909MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Quantum,Quantum M,QM83,1776MB,Phone,Mediatek MT6750T,720x1440,260,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Quantum,V,QX2,3819MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Quantum,Go 2,Q19,2933MB,Phone,Mediatek MT6573,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Quantum,MUV UP,Q13,2932MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Quantum,Sky,QX1,3804MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Quantum,FLY,Q7,2832MB,Phone,Mediatek MT6797,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Quantum,Quantum UP,QF74,884MB,Phone,Spreadtrum SC9832E,480x960,240,armeabi-v7a;armeabi,27,3.2
Quantum,MUV PRO,Q5,1925MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Quantum,MUV 3G,Q3C,1902MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Quantum,Quantum Lio +,QC84,1853MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Quantum,You E,QY77,2909MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Quantum,Fit,QF73,878MB,Phone,Spreadtrum SC9832A,480x854,240,armeabi-v7a;armeabi,24,2.0
Quantum,Quantum FIT,S511,926MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,24,2.0
Quantum,Muv,Q3,917MB,Phone,Mediatek MT6735P,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Quantum,i9i,QMobile_i9i,964MB,Phone,Mediatek MT6580M,480x854,213,armeabi-v7a;armeabi,24,2.0
Quantum,Twist Neo,S501,886MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23,3.0
Quantum,Mini,S431,450MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Quantum,QSPT-1952,QF3A,1974MB,Tablet,Rockchip RK3399,900x1600,160,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Quantum,You L,Q11,1902MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Quantum,You 2,QE83,882MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Quantum,Go,Q1,1971-1972MB,Phone,Mediatek MT6592M,720x1280,320,armeabi-v7a;armeabi,22;23,2.0
Quantum,Go,Q2,1927-1928MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0
Quatro,Quatro 10,Quatro_10,896MB,Phone,Mediatek MT6739WW,640x1280,320,armeabi-v7a;armeabi,27,3.2
Quatro,Quatro_8,Quatro_8,930MB,Phone,Mediatek MT6737,540x960,240,armeabi-v7a;armeabi,27,3.1
QUBO,Hermes,Hermes,849MB,Phone,Mediatek MT6739WA,640x1280,320,armeabi-v7a;armeabi,27,3.2
QUBO,P6,P6,920MB,Phone,Spreadtrum SC7731E,720x1440,320,armeabi-v7a;armeabi,28,3.2
QUBO,MINERVA_32GB,MINERVA_32GB,2915MB,Phone,Mediatek MT6739WA,720x1280,320,armeabi-v7a;armeabi,28,3.2
QUBO,MINERVA,MINERVA,1915MB,Phone,Mediatek MT6739WW,720x1280,320,armeabi-v7a;armeabi,27,3.2
